Q.yearborn,Q.gender,Q.ethnicity,What do you use to stream TV shows or movies? Select all that apply.,"Of the two options, how do you identify?",Which statement applies to you? Select one.,Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which do you currently use? Select all that apply.,"Of the below list, which platform do you use the most, right now? Select one.",Which statement best applies to you?,Have you canceled a streaming subscription in the past year?,Why did you cancel the streaming subscription in the past year? Select all that apply.,How many hours per week do you spend watching TV shows?,How many hours per week do you spend watching movies?,How many hours per week do you spend playing video games?,How many hours per week do you spend listening to podcasts or audiobooks?,How many hours per week do you spend listening to music?,"Of the below list, which is your favorite to do?","When you are streaming a TV show or movie, which do you primarily prefer?","When you are streaming a TV show or movie, which do you primarily prefer?","When you discover a new TV show or movie, how do you typically first hear about it? Select one.",How important is it to you to be the first of your friend group to discover a new TV show or movie?
2001,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+']",HBO Max,"['Spotify', 'Apple Music', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,1-5 hours,1-5 hours,< 1 hour,9-11 hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,A little important
2000,Female,['Hispanic'],"['Smart TV', 'Roku ', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Peacock']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I equally pay for and use another person’s account for the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",9-11 hours,1-5 hours,0 hours,< 1 hour,1-5 hours,Watching TV shows,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2003,Male,['White or Caucasian'],"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Google TV+', 'Apple TV+', 'Disney+', 'HBO Max']",Netflix,"['Spotify', 'Deezer', 'Amazon Music', 'Apple Music', 'Audible', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,< 1 hour,1-5 hours,1-5 hours,1-5 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Somewhat important
2000,Male,['White or Caucasian'],['Roku'],Introvert,I am a full time student,"['Hulu', 'ESPN+']",ESPN+,['SoundCloud'],,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,6-8 hours,1-5 hours,1-5 hours,Watching movies,Have it on in the background,Watch alone,Seeing it on social media or online,Somewhat important
2002,Gender Variant/Non-conforming,['White or Caucasian'],"['Smart TV', 'Roku ', 'Firestick', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'HBO Max']",HBO Max,"['Spotify', 'Amazon Music']",Spotify,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],12+ hours,6-8 hours,6-8 hours,0 hours,12+ hours,Watching TV shows,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,A little important
1998,Female,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+']",Netflix,"['Spotify', 'Amazon Music', 'Audible', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,1-5 hours,1-5 hours,1-5 hours,9-11 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Very important
2002,Male,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone']",Introvert,I am a part time student with a job,"['Netflix', 'Amazon Prime Video', 'Disney+']",Netflix,"['Spotify', 'Audible']",Audible,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,6-8 hours,6-8 hours,1-5 hours,Playing video games,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
2002,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Crunchyroll']",Peacock,"['Iheartradio', 'Spotify', 'Apple Music', 'Pandora', 'SoundCloud']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Content I liked left/ended']",12+ hours,1-5 hours,0 hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Seeing it on social media or online,Not at all important
2004,Gender Variant/Non-conforming,['White or Caucasian'],['Smart TV'],Introvert,I am a full time student,"['Hulu', 'Netflix', 'YouTube Premium', 'Disney+']",YouTube Premium,"['Spotify', 'YouTube Music']",YouTube Music,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,< 1 hour,< 1 hour,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,A little important
2001,Male,['White or Caucasian'],['Laptop'],Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Amazon Prime Video,['YouTube Music'],,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],1-5 hours,1-5 hours,12+ hours,0 hours,1-5 hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it on social media or online,A little important
2002,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'YouTube Premium', 'Google TV+', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'Discovery+', 'Crunchyroll', 'Funimation', 'FuboTV']",Hulu,"['Apple Music', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],6-8 hours,0 hours,12+ hours,< 1 hour,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
2000,Gender Variant/Non-conforming,['White or Caucasian'],"['Apple TV', 'Smartphone']",Introvert,None of the above,"['Hulu', 'Netflix', 'Disney+', 'Discovery+', 'Crunchyroll']",Crunchyroll,['Apple Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,< 1 hour,1-5 hours,1-5 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch alone,Seeing it as an ad on a streaming app,A little important
2003,Male,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone', 'Tablet']",Extrovert,I am a full time student,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max']",HBO Max,"['Spotify', 'Amazon Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,< 1 hour,6-8 hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,A little important
2002,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+']",Hulu,['Apple Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,0 hours,1-5 hours,< 1 hour,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1997,Male,['White or Caucasian'],"['Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max', 'Discovery+']",Amazon Prime Video,"['Spotify', 'Tidal', 'Pandora', 'SoundCloud']",Tidal,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Hard to navigate the platform'],6-8 hours,1-5 hours,1-5 hours,1-5 hours,6-8 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch alone,Seeing it as an ad on a streaming app,Somewhat important
2000,Male,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Netflix', 'Disney+', 'ESPN+']",ESPN+,"['Spotify', 'Apple Music', 'SoundCloud']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,0 hours,1-5 hours,1-5 hours,6-8 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
1998,Male,['Black or African American'],"['Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium']",Netflix,"['Spotify', 'Amazon Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,9-11 hours,9-11 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,Somewhat important
2000,Male,['White or Caucasian'],"['Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a full time student,"['Google TV+', 'Crunchyroll', 'Funimation']",Crunchyroll,"['Spotify', 'Pandora', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],6-8 hours,1-5 hours,9-11 hours,6-8 hours,6-8 hours,Playing video games,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Very important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet']",Introvert,I am a full time student,"['Netflix', 'Disney+']",Netflix,"['Spotify', 'Apple Music', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Hard to navigate the platform']",1-5 hours,1-5 hours,1-5 hours,< 1 hour,< 1 hour,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as an ad on a streaming app,Very important
1998,Male,['White or Caucasian'],"['Roku ', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+', 'Discovery+']",Netflix,"['Spotify', 'Pandora', 'YouTube Music']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,1-5 hours,< 1 hour,6-8 hours,Playing video games,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
2000,Male,"['White or Caucasian', 'Hispanic']","['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Gaming console', 'Smartphone', 'Laptop']",Introvert,I am a part time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'Paramount +', 'HBO Max', 'Crunchyroll', 'Funimation']",Crunchyroll,"['Iheartradio', 'Spotify', 'Amazon Music', 'YouTube Music']",Spotify,I equally pay for and use another person’s account for the streaming platforms I use,Yes,"['Not enough content I liked', 'Content I liked left/ended']",1-5 hours,1-5 hours,12+ hours,6-8 hours,< 1 hour,Listening to podcasts/audiobooks,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Somewhat important
1999,Female,"['White or Caucasian', 'Hispanic']","['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'Paramount +']",Peacock,['Spotify'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],12+ hours,< 1 hour,1-5 hours,0 hours,6-8 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
2004,Female,['White or Caucasian'],['Roku'],Introvert,I am a full time student,"['Hulu', 'Netflix', 'HBO Max']",HBO Max,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,< 1 hour,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
1998,Female,['Hispanic'],"['Smart TV', 'Gaming console', 'Smartphone']",Extrovert,I am a part time student with a job,"['Netflix', 'YouTube Premium', 'Discovery+']",YouTube Premium,['YouTube Music'],,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],6-8 hours,6-8 hours,< 1 hour,1-5 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,A little important
1998,Male,['White or Caucasian'],"['Smart TV', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'HBO Max']",HBO Max,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Content I liked left/ended']",6-8 hours,0 hours,1-5 hours,9-11 hours,1-5 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
1998,Male,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'ESPN+']",Netflix,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],9-11 hours,1-5 hours,1-5 hours,6-8 hours,6-8 hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2003,Female,['White or Caucasian'],"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Apple TV+', 'HBO Max', 'Funimation']",Netflix,"['Spotify', 'Pandora']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],12+ hours,0 hours,6-8 hours,0 hours,1-5 hours,Watching TV shows,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Very important
2003,Female,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Tablet']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Disney+', 'Peacock', 'Crunchyroll', 'Funimation']",Hulu,"['Spotify', 'Amazon Music', 'SoundCloud']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,1-5 hours,1-5 hours,< 1 hour,9-11 hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Somewhat important
2001,Female,"['White or Caucasian', 'Black or African American', 'Hispanic']","['Smart TV', 'Roku ', 'Smartphone']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Netflix,"['Spotify', 'Apple Music', 'Pandora']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,< 1 hour,12+ hours,Listening to music,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1997,Female,['White or Caucasian'],"['Firestick', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Apple TV+', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+']",Netflix,"['Amazon Music', 'Apple Music', 'YouTube Music']",Apple Music,I use a friend or family member’s account for most of the streaming platforms I use,Yes,"['Not enough content I liked', 'Hard to navigate the platform']",1-5 hours,< 1 hour,< 1 hour,< 1 hour,6-8 hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
1997,Female,"['White or Caucasian', 'Hispanic']","['Smart TV', 'Roku ', 'Apple TV', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +']",Netflix,"['Spotify', 'Apple Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Pandora,I personally pay for most or all of the streaming platforms I use,Yes,['Content I liked left/ended'],6-8 hours,1-5 hours,< 1 hour,< 1 hour,1-5 hours,Listening to podcasts/audiobooks,Focus entirely on the show,Watch alone,Seeing it on social media or online,Very important
1999,Female,"['White or Caucasian', 'Hispanic']",['Smart TV'],Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Sling', 'Disney+', 'Peacock', 'HBO Max']",Hulu,"['Amazon Music', 'Apple Music']",Apple Music,I equally pay for and use another person’s account for the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,0 hours,6-8 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,Somewhat important
1999,Female,['White or Caucasian'],['Smartphone'],Introvert,None of the above,"['Hulu', 'Amazon Prime Video']",Amazon Prime Video,"['Spotify', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],0 hours,1-5 hours,0 hours,0 hours,6-8 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Disney+']",Netflix,"['Apple Music', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,1-5 hours,1-5 hours,1-5 hours,12+ hours,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,A little important
1999,Female,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Apple TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student with a job,"['Netflix', 'YouTube Premium', 'Sling', 'Apple TV+', 'Disney+', 'HBO Max', 'CuriosityStream', 'Discovery+', 'Funimation', 'FuboTV']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music', 'Audible', 'Pandora', 'SoundCloud', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Not enough content I liked', 'Content I liked left/ended']",12+ hours,12+ hours,6-8 hours,< 1 hour,12+ hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Seeing it on social media or online,Somewhat important
2002,Male,['White or Caucasian'],"['Smart TV', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'YouTube Premium', 'Peacock', 'Paramount +']",Peacock,"['Spotify', 'Pandora', 'SoundCloud', 'YouTube Music']",YouTube Music,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,1-5 hours,1-5 hours,< 1 hour,Watching TV shows,Focus entirely on the show,Watch alone,Seeing it on social media or online,Not at all important
1998,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Tablet']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Disney+', 'ESPN+', 'Discovery+']",Netflix,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,< 1 hour,< 1 hour,6-8 hours,Watching TV shows,Focus entirely on the show,Watch with friends/family,Hearing about it from a friend/family member,Very important
1999,Female,['Hispanic'],"['Smart TV', 'Apple TV', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'YouTube Premium', 'Apple TV+', 'Peacock', 'Paramount +', 'HBO Max']",Netflix,"['Iheartradio', 'Spotify', 'Amazon Music', 'Apple Music', 'Pandora', 'YouTube Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],9-11 hours,9-11 hours,12+ hours,1-5 hours,12+ hours,Playing video games,Focus entirely on the show,Watch alone,Hearing about it from a friend/family member,Very important
2001,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone']",Introvert,I have a part time job,"['Netflix', 'Amazon Prime Video', 'Disney+', 'Paramount +']",Netflix,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,< 1 hour,12+ hours,< 1 hour,< 1 hour,Playing video games,Focus entirely on the show,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
2002,Male,['White or Caucasian'],"['Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Google TV+', 'Disney+', 'ESPN+', 'Discovery+']",Netflix,"['Spotify', 'Amazon Music', 'Apple Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,['Not enough content I liked'],< 1 hour,< 1 hour,< 1 hour,6-8 hours,9-11 hours,Playing video games,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
2003,Male,['White or Caucasian'],"['Smart TV', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I am a full time student,"['Netflix', 'Disney+', 'Peacock', 'ESPN+', 'Crunchyroll']",Netflix,['Apple Music'],,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Not enough content I liked']",1-5 hours,1-5 hours,6-8 hours,1-5 hours,9-11 hours,Listening to music,Have it on in the background,Watch with friends/family,Seeing it on social media or online,A little important
2002,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Laptop']",Introvert,I have a part time job,"['Hulu', 'Netflix', 'Disney+', 'Paramount +']",Hulu,['Spotify'],,I equally pay for and use another person’s account for the streaming platforms I use,Yes,['Other (please specify)'],6-8 hours,6-8 hours,< 1 hour,1-5 hours,1-5 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Seeing it as an ad on a streaming app,Not at all important
1999,Male,['White or Caucasian'],"['Gaming console', 'Smartphone', 'Laptop']",Introvert,None of the above,"['Hulu', 'Netflix']",Netflix,['SoundCloud'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],1-5 hours,< 1 hour,6-8 hours,< 1 hour,1-5 hours,Playing video games,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Somewhat important
1998,Female,['White or Caucasian'],"['Roku ', 'Smartphone', 'Tablet', 'Laptop']",Extrovert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Hulu,['Amazon Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,0 hours,0 hours,1-5 hours,Watching TV shows,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Somewhat important
2000,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max']",Netflix,['Spotify'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],1-5 hours,1-5 hours,0 hours,1-5 hours,9-11 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
1998,Male,['White or Caucasian'],"['Smart TV', 'Roku ', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Peacock']",Netflix,"['Spotify', 'Pandora']",Spotify,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,1-5 hours,1-5 hours,12+ hours,Watching TV shows,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1997,Female,['White or Caucasian'],['Roku'],Introvert,None of the above,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'HBO Max']",Netflix,['Amazon Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],9-11 hours,1-5 hours,0 hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1998,Female,['White or Caucasian'],"['Smart TV', 'Firestick', 'Gaming console', 'Smartphone']",Introvert,I am a full time student,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+']",Amazon Prime Video,['Spotify'],,I personally pay for most or all of the streaming platforms I use,Yes,['Price/Cost'],6-8 hours,9-11 hours,< 1 hour,1-5 hours,1-5 hours,Watching movies,Have it on in the background,Watch with friends/family,Seeing it as a recommendation on a streaming app,Very important
2002,Female,['Hispanic'],"['Smart TV', 'Roku ', 'Chromecast', 'Gaming console', 'Smartphone', 'Tablet', 'Laptop']",Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Sling', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+']",Hulu,"['Spotify', 'Pandora']",Spotify,I personally pay for most or all of the streaming platforms I use,No,[''],9-11 hours,6-8 hours,1-5 hours,0 hours,12+ hours,Listening to music,Have it on in the background,Watch alone,Hearing about it from a friend/family member,Not at all important
1997,Female,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'YouTube Premium', 'Google TV+', 'Paramount +', 'HBO Max', 'ESPN+', 'Discovery+', 'FuboTV']",HBO Max,"['Spotify', 'Amazon Music', 'Pandora', 'SoundCloud', 'YouTube Music']",Spotify,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",1-5 hours,9-11 hours,1-5 hours,1-5 hours,9-11 hours,Watching movies,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Somewhat important
2000,Female,['White or Caucasian'],"['Smart TV', 'Chromecast', 'Gaming console', 'Smartphone', 'Laptop']",Extrovert,I have a full time job,"['Hulu', 'Netflix', 'Amazon Prime Video', 'Disney+', 'Peacock', 'HBO Max', 'ESPN+']",Disney+,['Amazon Music'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,1-5 hours,0 hours,0 hours,6-8 hours,Listening to music,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Not at all important
1997,Female,['Hispanic'],"['Gaming console', 'Smartphone']",Introvert,I have a full time job,"['Netflix', 'Amazon Prime Video', 'Crunchyroll', 'Funimation']",Crunchyroll,"['Spotify', 'Apple Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,No,[''],12+ hours,1-5 hours,1-5 hours,0 hours,12+ hours,Listening to music,Focus entirely on the show,Watch with friends/family,Seeing it as a recommendation on a streaming app,Not at all important
2000,Female,['White or Caucasian'],['Laptop'],Introvert,I am a full time student with a job,"['Hulu', 'Netflix', 'Amazon Prime Video']",Hulu,['Spotify'],,I personally pay for most or all of the streaming platforms I use,No,[''],1-5 hours,< 1 hour,< 1 hour,< 1 hour,< 1 hour,Watching TV shows,Have it on in the background,Watch alone,Seeing it on social media or online,Very important
2001,Female,['White or Caucasian'],"['Smart TV', 'Roku ', 'Chromecast', 'Firestick', 'Apple TV', 'Smartphone', 'Tablet']",Introvert,I am a full time student,"['YouTube Premium', 'Peacock', 'Paramount +']",Peacock,"['Deezer', 'Bandcamp', 'Apple Music']",Apple Music,I personally pay for most or all of the streaming platforms I use,Yes,"['Price/Cost', 'Content I liked left/ended']",< 1 hour,6-8 hours,9-11 hours,6-8 hours,9-11 hours,Listening to podcasts/audiobooks,Have it on in the background,Watch alone,Seeing it as a recommendation on a streaming app,Somewhat important
1998,Female,['White or Caucasian'],"['Smart TV', 'Smartphone', 'Laptop']",Introvert,I am a full time student,['Netflix'],,['Pandora'],,I use a friend or family member’s account for most of the streaming platforms I use,No,[''],6-8 hours,< 1 hour,< 1 hour,< 1 hour,1-5 hours,Listening to music,Have it on in the background,Watch with friends/family,Hearing about it from a friend/family member,Not at all important
